"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/BOB","","","",""
"2011-12-31","6.8570",,,,
"2010-12-31","6.8755",,,,
"2009-12-31","6.8837",,,,
"2008-12-31","7.0968",,,,
"2007-12-31","7.6348",,,,
"2006-12-31","7.7271",,,,
"2005-12-31","7.9643",,,,
"2004-12-31","7.7202",,,,
"2003-12-31","7.4325",,,,
"2002-12-31","6.8955",,,,
"2001-12-31","6.5254",,,,
"2000-12-31","6.1267",,,,
"1999-12-31","5.7891",,,,
"1998-12-31","5.5181",,,,
"1997-12-31","5.2631",,,,
"1996-12-31","5.0873",,,,
"1995-12-31","4.7977",,,,
""
"Period Average","6.5997","","","",""
"Period Low","4.7977","","","",""
"Period High","7.9643","","","",""
