"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/LKR","","","",""
"2011-12-31","110.3167",,,,
"2010-12-31","112.7963",,,,
"2009-12-31","114.6986",,,,
"2008-12-31","108.0681",,,,
"2007-12-31","110.1924",,,,
"2006-12-31","103.5981",,,,
"2005-12-31","100.3815",,,,
"2004-12-31","100.9790",,,,
"2003-12-31","96.3123",,,,
"2002-12-31","95.4055",,,,
"2001-12-31","89.1974",,,,
"2000-12-31","76.6202",,,,
"1999-12-31","70.6346",,,,
"1998-12-31","64.7369",,,,
"1997-12-31","58.8908",,,,
"1996-12-31","55.2256",,,,
"1995-12-31","53.1601",,,,
""
"Period Average","89.4832","","","",""
"Period Low","53.1601","","","",""
"Period High","114.6986","","","",""
