"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/XAF","","","",""
"2011-12-31","462.1389",,,,
"2010-12-31","485.4612",,,,
"2009-12-31","462.7569",,,,
"2008-12-31","439.3087",,,,
"2007-12-31","466.0924",,,,
"2006-12-31","505.8538",,,,
"2005-12-31","522.2248",,,,
"2004-12-31","507.2896",,,,
"2003-12-31","564.7325",,,,
"2002-12-31","677.7969",,,,
"2001-12-31","725.7181",,,,
"2000-12-31","709.5236",,,,
"1999-12-31","615.2975",,,,
"1998-12-31","589.2666",,,,
"1997-12-31","582.1685",,,,
"1996-12-31","510.3319",,,,
"1995-12-31","498.9220",,,,
""
"Period Average","548.5226","","","",""
"Period Low","439.3087","","","",""
"Period High","725.7181","","","",""
