Date,Open,High,Low,Close,Volume
30-Dec-11,52111.76,52334.19,51013.40,51266.62,0
29-Dec-11,51563.51,52053.62,51116.72,52053.62,0
28-Dec-11,52403.32,52561.20,51452.00,51553.20,0
27-Dec-11,52453.86,52618.38,52202.75,52561.20,0
26-Dec-11,52235.82,52554.85,51948.62,52517.25,0
23-Dec-11,52032.55,52265.30,51591.56,51948.62,0
22-Dec-11,52013.51,52332.67,51301.20,51591.56,0
21-Dec-11,52458.60,52846.11,51507.11,51747.43,0
20-Dec-11,50958.05,52155.82,50639.56,52126.94,0
19-Dec-11,51450.31,51824.50,50684.01,50742.08,0
16-Dec-11,52250.03,52337.30,51551.49,51665.78,0
15-Dec-11,51530.00,52250.00,51088.40,51886.47,0
14-Dec-11,52323.74,52551.52,51158.49,51338.97,0
13-Dec-11,52457.95,52989.15,52117.13,52551.52,0
12-Dec-11,53736.23,53885.46,52328.16,52444.07,0
9-Dec-11,52655.86,53986.90,52655.86,53834.91,0
8-Dec-11,55189.29,55212.30,53316.73,53499.25,0
7-Dec-11,55128.77,55537.56,54377.55,55138.85,0
6-Dec-11,54780.41,55195.81,54300.14,54679.11,0
5-Dec-11,54928.94,55384.08,54725.02,55195.81,0
2-Dec-11,53986.17,55154.53,53941.90,54769.25,0
1-Dec-11,54412.80,54792.44,53636.62,53806.64,0
30-Nov-11,51743.00,54517.76,51640.47,54517.76,0
29-Nov-11,52283.58,52488.55,51582.08,52092.78,0
28-Nov-11,51575.94,52450.67,51071.22,52283.58,0
25-Nov-11,49621.67,51084.01,48812.40,51071.22,0
24-Nov-11,51091.51,51703.60,49621.67,49621.67,0
23-Nov-11,51986.38,53387.49,50656.59,51091.51,0
22-Nov-11,52752.15,54506.52,51497.34,51986.38,0
21-Nov-11,54434.68,54506.52,52589.31,52752.15,0
18-Nov-11,55089.82,55089.82,54344.70,54473.90,0
17-Nov-11,55927.45,56306.70,54923.02,55089.82,0
16-Nov-11,55922.53,56306.70,55285.04,55927.45,0
15-Nov-11,55875.72,56770.67,55285.04,55922.53,0
14-Nov-11,56619.84,56770.67,55714.89,55875.72,0
11-Nov-11,55540.67,56391.97,55540.67,56201.45,0
10-Nov-11,54997.15,55848.16,54874.86,55540.67,0
4-Nov-11,56522.77,56955.26,55815.34,56180.24,0
