Date,Open,High,Low,Close,Volume
30-Dec-11,11837.54,11959.81,11839.67,11955.09,94681697
29-Dec-11,11703.18,11842.06,11703.87,11841.70,95627711
28-Dec-11,11893.36,11926.67,11709.77,11728.41,98273939
23-Dec-11,11900.61,11949.08,11876.48,11926.67,122283677
22-Dec-11,11766.22,11879.99,11743.94,11876.48,172966731
21-Dec-11,11718.08,11768.80,11670.23,11753.53,227279849
20-Dec-11,11627.01,11753.50,11539.70,11716.88,278005637
19-Dec-11,11659.78,11666.86,11507.62,11539.70,200565791
16-Dec-11,11520.72,11667.32,11504.42,11635.38,465639771
15-Dec-11,11610.00,11630.60,11468.70,11504.42,212926665
14-Dec-11,11671.20,11759.94,11496.65,11543.05,258366071
13-Dec-11,11913.58,11987.47,11688.23,11759.94,225191443
12-Dec-11,11905.85,12034.75,11805.80,11907.89,223748765
9-Dec-11,11964.55,12068.34,11951.79,12034.75,168917457
8-Dec-11,12067.64,12148.73,11916.96,11951.79,236446046
7-Dec-11,12071.91,12167.13,11997.28,12148.73,234979276
6-Dec-11,12092.75,12162.29,12010.45,12081.25,294246336
5-Dec-11,12152.06,12268.91,12075.09,12119.33,188982337
2-Dec-11,12225.42,12229.90,12061.68,12075.09,195798266
1-Dec-11,12174.09,12215.21,12088.23,12113.29,201004892
30-Nov-11,11966.42,12204.17,11732.50,12204.11,282704137
29-Nov-11,11654.43,11766.54,11638.48,11732.50,222462949
28-Nov-11,11672.01,11741.29,11462.06,11640.21,186585706
25-Nov-11,11465.40,11536.77,11420.78,11462.06,114691255
24-Nov-11,11595.95,11604.63,11470.28,11485.32,48895537
23-Nov-11,11689.64,11795.19,11540.23,11571.71,189951023
22-Nov-11,11801.71,11842.37,11730.64,11795.19,199922254
21-Nov-11,11751.31,11892.44,11636.12,11784.72,196256096
18-Nov-11,11982.36,11994.41,11876.49,11892.44,208877067
17-Nov-11,12152.86,12174.36,11878.68,11915.43,222262031
16-Nov-11,12189.27,12295.32,12163.35,12174.36,264218706
15-Nov-11,12189.97,12258.04,12147.86,12229.27,182342563
14-Nov-11,12276.85,12342.03,12157.68,12224.19,136413027
11-Nov-11,12198.89,12321.45,12108.87,12276.85,165644472
10-Nov-11,12218.82,12260.30,12025.57,12108.87,192236938
9-Nov-11,12314.61,12488.85,12156.10,12156.22,222082015
8-Nov-11,12507.03,12542.58,12431.45,12488.85,199379802
7-Nov-11,12416.16,12485.20,12402.65,12461.98,205585826
4-Nov-11,12432.56,12470.04,12308.21,12408.25,190776204
3-Nov-11,12347.35,12471.39,12237.26,12468.35,258625081
2-Nov-11,12210.72,12325.77,12115.10,12241.76,210858029
1-Nov-11,11963.21,12252.06,11913.72,12115.10,295017949
31-Oct-11,12416.88,12519.51,12252.06,12252.06,290368405
28-Oct-11,12427.18,12541.84,12415.46,12519.51,239914383
27-Oct-11,12425.26,12526.29,12186.06,12465.44,330546204
26-Oct-11,12172.43,12208.07,12052.53,12186.06,236790466
25-Oct-11,12173.75,12230.82,12030.09,12109.75,286073224
24-Oct-11,12005.66,12162.28,11949.49,12162.28,231505190
21-Oct-11,11982.73,11993.90,11830.33,11949.49,185069468
20-Oct-11,11794.34,11898.44,11697.53,11830.33,196843135
