afago,132982.0,0.0
afbdi,9990.0,0.0
afben,3529918.0,0.0
afbfa,16066.0,0.0
afcaf,0.0,117022.47
afciv,8790.0,4611847.0
afcmr,18409.0,91017.89
afcod,2379.0,0.0
afcog,0.0,15437.4
afcom,49908.0,1081.37
afcpv,35993.87,0.0
afdji,153408.0,0.0
afdza,2178811.95,0.0
afegy,24606177.04,5041281.74
aferi,122295.0,0.0
afeth,704930.67,0.0
afgab,111463.64,0.0
afgha,2625623.57,2255.0
afgin,8628338.86,0.0
afgmb,1756932.08,5211.0
afgnb,26063.0,0.0
afken,1066315.32,0.0
aflby,6063923.0,0.0
afmar,12809584.48,158051.0
afmdg,69523.31,0.0
afmli,80321.08,0.0
afmoz,697558.0,0.0
afmrt,46673.0,0.0
afmus,349572.88,0.0
afmwi,287979.69,0.0
afner,283305.97,0.0
afnga,4334229.19,0.0
afsdn,9323140.95,0.0
afsen,39991.0,0.0
afsle,217775.0,0.0
afsom,40393.0,0.0
afsyc,104766.0,0.0
aftgo,104448.62,0.0
aftun,3600561.07,122536.08
aftza,525434.97,0.0
afuga,369091.0,0.0
afzaf,3760838.86,2024484.67
afzmb,82133.72,0.0
afzwe,332383.0,0.0
asafg,252081.0,2147.0
asare,49328646.0,10232333.14
asarm,5871702.84,1634925.61
asaze,53071.0,0.0
asbgd,567845.76,791738.74
asbhr,2202299.77,571845.07
asbrn,148147.0,0.0
asbtn,0.0,1606.0
aschn,912342.3,204692067.79
asgeo,9640373.33,0.0
ashkg,8136625.93,15646736.65
asidn,385037.54,301559.89
asind,2158209.68,9471363.49
asirn,10258608.33,1505221.28
asirq,5426709.0,0.0
asisr,37159087.63,139381647.62
asjor,16725824.23,1586281.15
asjpn,2559140.37,27866195.19
askaz,1838979.72,237600.0
askgz,26124.04,0.0
askhm,165381.31,0.0
askor,2248302.97,9722371.56
askwt,8878207.54,34187.67
aslao,10794.0,0.0
aslbn,25082087.34,6675994.56
aslka,1406599.0,4441.0
asmac,90298.79,0.0
asmdv,65444.82,0.0
asmmr,915072.0,0.0
asmys,5380091.99,1027631.27
asnpl,4776.0,0.0
asomn,5073710.34,5591.0
aspak,890562.0,125279.72
asphl,567686.25,230919.92
asprk,8226.0,0.0
aspse,69393.0,0.0
asqat,3997214.8,61339.23
assau,15036549.27,5611201.82
assgp,13721298.24,3286078.24
assyr,62919471.0,18173766.19
astha,2961363.95,5000229.96
astkm,357008.5,0.0
astur,16814580.35,55985728.34
asuzb,26087.0,0.0
asvnm,1502997.0,0.0
asxxb,809625.0,10160512.4
asyem,1046275.0,0.0
eualb,3405517.75,19621.0
euand,8049.0,3915.0
euaut,4127771.66,36880276.61
eubgr,8361268.01,16776325.01
eubih,314035.0,38224.18
eublr,1731907.86,6845467.0
eublx,17900642.04,24401764.82
euche,4095434.63,36126345.64
eucze,5049624.38,1262089.91
eudeu,161552416.72,212916616.88
eudnk,4213455.83,6173739.88
euesp,22506847.99,48933422.45
euest,522192.6,38373.0
eufin,2614951.7,5628590.3
eufra,14807712.55,134944017.9
eugbr,210122826.41,332082932.61
eugib,226270.0,0.0
eugrc,102551203.75,281396530.37
euhrv,1618657.13,320619.82
euhun,3669376.41,1971120.74
euirl,10610579.62,11902098.25
euisl,43520.95,0.0
euita,23842238.44,231206686.2
eultu,701634.03,0.0
eulva,1055158.36,159029.0
eumda,255386.52,0.0
eumkd,3637230.45,19994385.0
eumlt,2993050.52,2652635.54
eunld,25896635.2,32920335.63
eunor,3459157.63,1710586.27
eupol,1811342.8,36252129.76
euprt,1719124.36,4956652.03
eurou,11972401.38,3170262.13
eurus,93287630.19,169400740.3
euscg,12502719.64,12410485.54
eusvk,3389377.44,425900.23
eusvn,5604626.13,2099812.27
euswe,6719112.17,59893706.29
euukr,33792928.71,98729672.93
naabw,17954.0,0.0
naaia,9424.0,0.0
naant,23933.0,8019.06
naatg,5753.0,0.0
nabhs,94335.0,262514.59
nablz,0.0,1488.0
nabmu,1611.0,0.0
nabrb,256033.44,0.0
nacan,1906287.03,12927195.81
nacri,579436.89,979492.93
nacub,310012.33,9019651.63
nacym,77310.0,2157.0
nadma,80257.19,0.0
nadom,27089.0,0.0
nagrd,48623.32,0.0
nagtm,28569.0,0.0
nahnd,10280.0,0.0
nahti,104360.0,0.0
najam,124085.43,0.0
nalca,10128.37,0.0
namex,3167592.83,1110772.52
nanic,5446.89,0.0
napan,357657.99,0.0
naslv,3059.0,0.0
natto,60295.73,0.0
nausa,28976111.08,287620570.64
ocaus,3149237.88,9350361.43
ocfji,33736.0,0.0
ocncl,10258.39,0.0
ocnzl,152310.14,26182.48
ocpng,103637.0,0.0
ocpyf,3932.41,0.0
saarg,160038.0,19276631.46
sabol,6598.84,12228.99
sabra,1000480.44,9207500.33
sachl,154228.48,1229932.93
sacol,105775.1,686453.06
saecu,167013.6,0.0
saflk,8691.0,0.0
saguy,57773.04,0.0
saper,67229.06,0.0
sasur,251302.09,0.0
saury,434962.52,0.0
saven,637367.14,0.0
xxxxh,76958601.0,0.0
