NETHERLANDS,AEX,^AEX
INDIA,SENSEX,^BSESN
SRI LANKA,CSEALLSHARE,^CSE
UNITED STATES,DOWJONES,DIA
FRANCE,CAC40,^FCHI
UNITED KINGDOM,FTSE100,^FTSE
GERMANY,DAX,^GDAXI
HONG KONG,HSI,^HSI
SPAIN,IBEX35,^IBEX
IRELAND,ISEQ,^ISEQ
MALAYSIA,FTSEKLCI,^KLSE
SOUTH KOREA,KOSPI,^KS11
ARGENTINA,MERVAL,^MERV
MEXICO,IPC,^MXX
JAPAN,NIKKEI225,^N225
NEW ZEALAND,NZX50,^NZ50
SWEDEN,OMX30,^OMX
ESTONIA,OMXTALLIN,unknown
SWITZERLAND,SMI,^SSMI
SINGAPORE,STI,^STI
CHINA,SSECOMPOSITE,000001.SS
COLOMBIA,IGBC,dow
PERU,IGBVL,dow
AUSTRIA,WBI,dow
CZECH REPUBLIC,SEPX,dow
FINLAND,HEX25,dow
GREECE,ASE,dow
HUNGARY,BUX,dow
ICELAND,SEICEX,dow
LUXEMBOURG,LUXX,dow
POLAND,WIG,dow
INDONESIA,JCI,dow
TAIWAN,TWSE,dow,
THAILAND,SET,dow,
AUSTRALIA,S&P/ASX200,dow,
MOROCCO,MASI,dow,
SOUTH AFRICA,FTSE/JSE,dow,
ITALY,FTSEMIB,FTSEMIB.MI,
LATVIA,OMXRIGA,google,
BELGIUM,BEL20,google,
RUSSIA,MICEX,google,
NORWAY,OBX,google,
PORTUGAL,PSI20,google,
ISRAEL,TA-25,google,
BRAZIL,BOVESPA,manual,ibov.csv
CANADA,S&P/TSX,manual,osptx.csv
CROATIA,CROBEX,unknown,
TURKEY,XU100,manual,xu100.csv
UKRAINE,PFTS,unknown
DENMARK,OMXCOPENHAGEN,OMXC20.CO
EGYPT,EGX30,unknown
CHILE,IGPA,unknown
ECUADOR,ECU,unknown
JAMAICA,JAMAICASE,unknown
PANAMA,BVPSI,unknown
VENEZUELA,IBVC,unknown
BULGARIA,SOFIX,unknown
CYPRUS,CYPRUSGENERAL,unknown
MONTENEGRO,MONEX20,unknown
ROMANIA,BET,unknown
SERBIA,BELEX15,unknown
SLOVAKIA,SAX,unknown
SLOVENIA,SBITOP,unknown
BAHRAIN,BAHRAINALLSHARE,unknown
BANGLADESH,SEALLSHARE,unknown
JORDAN,ASEGENERAL,unknown
KUWAIT,KUWAITS.E.,unknown
LEBANON,MSCILEBANON,unknown
OMAN,MSM30,unknown
PAKISTAN,KSE100,unknown
QATAR,QEGENERAL,unknown
SAUDI ARABIA,TASI,unknown
UNITED ARAB EMIRATES,ADXGENERAL,unknown
VIETNAM,VNINDEX,unknown
BOTSWANA,BSIDCI,unknown
KENYA,NSE20,unknown
MAURITIUS,SEMDEX,unknown
NIGERIA,NSE30,unknown
TUNISIA,TUNINDEX,unknown
PHILIPPINES,PSEI,unknown
